participant_id,pc1,pc2,neighborhood,neighborhood_label,song_title,song_artist
e8b50d18,-0.09253829003601616,-0.003549338766070897,0,Calm / Nostalgic / At,Fire on Up,Paper Kings
9ea9ebab,-0.10305540771962778,0.03838292606866318,0,Calm / Nostalgic / At,Sayang Kinabalu,Kimin Mudin
700b0b49,-0.09885602404880366,0.041479489599337505,0,Calm / Nostalgic / At,Drops of Jupiter,Train
700b0b49,0.11564717429197229,-0.1970963227754237,3,Happy / Happy Because / Because,Clarity,Zedd
000edf84,-0.09608060396914736,0.031216819463548744,0,Calm / Nostalgic / At,æ¼«æ­¥é¦æ¸¯1999,Blue C
d7a09335,-0.07309275049348982,0.029811035448892118,0,Calm / Nostalgic / At,Butta B,Fat Smxck
ce7f4240,-0.10626196447917209,0.04273663938092614,0,Calm / Nostalgic / At,high fives,drake
2d41163b,-0.13326381418870922,0.031319369275083234,0,Calm / Nostalgic / At,âMe conformoâ Mike Towers,Mike towers
2d41163b,-0.13326381418870922,0.031319369275083234,0,Calm / Nostalgic / At,Check yes or no,George strait
2d41163b,-0.2022828144840957,-0.03966434817561871,2,Upbeat / Dance / Happy Upbeat,Donât stop till you get enough,Michael Jackson
c62e0917,-0.07309275049348982,0.029811035448892118,0,Calm / Nostalgic / At,Opposite,Sabrina carpenter
847d5d95,-0.1453961282648524,-0.0020598226463910186,0,Calm / Nostalgic / At,Wonderwall,Oasis
847d5d95,-0.09233635228692001,0.03675969676617625,0,Calm / Nostalgic / At,No Idea,Dontoliver
9a49b4cc,-0.12008006094173986,0.03704620925527749,0,Calm / Nostalgic / At,Good Kisser,Usher
8e9dbae3,-0.11327753618547506,0.04466880815730781,0,Calm / Nostalgic / At,One shot,NBA youngboy
dc0ff952,-0.08847643634090419,0.01594298336376098,0,Calm / Nostalgic / At,Alive,Warbly Jets
32dfaea0,0.6403054954162402,0.1484950333808374,1,Relaxed / Happy Relaxed / Happy,Home,Edward Sharpe
80662765,-0.07309275049348982,0.029811035448892118,0,Calm / Nostalgic / At,Castle on the hill,Ed Sheeran
602e04ce,-0.10574257517001454,-0.0387232517245706,0,Calm / Nostalgic / At,Goals,Lisa
602e04ce,0.20040948884700877,0.3857612659144401,1,Relaxed / Happy Relaxed / Happy,Ooh Nah Nah,"SiR, Masego"
9ed3595c,-0.16353375935695688,0.00018346415081655406,2,Upbeat / Dance / Happy Upbeat,White Keys,Dominic Fike
fce7a290,0.21147258910179753,-0.3068113818519799,3,Happy / Happy Because / Because,Good Drank,"2 Chainz, Gucci Mane, Quavo"
edd34b65,-0.14269787958220467,0.044857949023254774,0,Calm / Nostalgic / At,Donât Go Breaking My Heart,Elton John
edd34b65,-0.0921470607262607,0.007072240090668296,0,Calm / Nostalgic / At,False Night,Yorushika
edd34b65,-0.09885602404880366,0.041479489599337505,0,Calm / Nostalgic / At,Take it Easy,Eagles
fdc75025,-0.07309275049348982,0.029811035448892118,0,Calm / Nostalgic / At,Easier,5SOS
fdc75025,0.6009214305330974,0.712383918093897,1,Relaxed / Happy Relaxed / Happy,Free myself,Harvey street
5abefd60,-0.12000539858271395,0.05157260781237814,0,Calm / Nostalgic / At,Think of You,Prospa
ffc0d51b,0.2923550470704029,-0.40534205325102407,3,Happy / Happy Because / Because,Great Expectations,Sienna Spiro
436c1717,-0.12414678843316061,0.005989697050139174,0,Calm / Nostalgic / At,southern nights,glen campbell
c54b9ba7,-0.12000539858271395,0.05157260781237814,0,Calm / Nostalgic / At,Algorisim,Babymetal
c54b9ba7,-0.15530776126606302,0.047643613882592015,0,Calm / Nostalgic / At,Black,Pearl Jam
be31f250,-0.1584722642162317,-0.023361916663034093,2,Upbeat / Dance / Happy Upbeat,maui wowie,kid cudi
2fe45bc9,0.6403054954162402,0.1484950333808374,1,Relaxed / Happy Relaxed / Happy,OH! Tengo Suerte,Masayoshi Takanaka
2fe45bc9,-0.1131328972190596,0.16208610270637877,0,Calm / Nostalgic / At,Yi Jian Mei,Fei Yu Ching
f8ccd7c6,-0.08587369374753603,0.022679064983826585,0,Calm / Nostalgic / At,Break Free,Prospa & Kettama
2692327c,-0.09297707623093351,0.005335982626633079,0,Calm / Nostalgic / At,Autocorrect,CBDB
a0a95456,-0.12777591605546118,0.08861626957255414,0,Calm / Nostalgic / At,Loose,Daniel Caesar
a79667d2,-0.1378494756741886,0.038094290839052254,0,Calm / Nostalgic / At,Loser,Tame Impala
c59bf3a7,-0.12514831409470162,-0.004183084269810463,0,Calm / Nostalgic / At,Slave to the rhythm,Michael Jackson
05780c53,0.09660767165998345,-0.17447123703914527,3,Happy / Happy Because / Because,Rethink some things,Luke Combs
5b7cd4bb,-0.07309275049348982,0.029811035448892118,0,Calm / Nostalgic / At,Flores,LATIN MAFIA
e6381a31,0.6009214305330974,0.712383918093897,1,Relaxed / Happy Relaxed / Happy,Slide,Frank Ocean
efd3b5bf,-0.12076760510302505,0.024400861972951,0,Calm / Nostalgic / At,boys donât cry,lil tecca
cbef372e,-0.13140227111898403,0.030018988509658333,0,Calm / Nostalgic / At,Get you,Daniel Caesar
cbef372e,-0.11046101617017738,0.03203710149778501,0,Calm / Nostalgic / At,The Weight,The Band
8f89b9ea,0.1051213216029785,-0.2077328059004486,3,Happy / Happy Because / Because,tn,morgan wallen
7115d98a,-0.10051700211703268,0.038857495931542585,0,Calm / Nostalgic / At,The Ride,Drake
96ada47a,0.6009214305330974,0.712383918093897,1,Relaxed / Happy Relaxed / Happy,Goddess,Laufey
8a388087,-0.07309275049348982,0.029811035448892118,0,Calm / Nostalgic / At,The Hills,The Weeknd
19437760,-0.12747412571130734,0.04311988787672747,0,Calm / Nostalgic / At,Monday Morning Faith,SEU worship
c083638f,-0.1489908229050529,0.032281869117376974,0,Calm / Nostalgic / At,Carolina in my mind,James Taylor
327a6411,0.6009214305330974,0.712383918093897,1,Relaxed / Happy Relaxed / Happy,Lighthouse,Noah Kahan
b5211f62,-0.09233635228692004,0.03675969676617625,0,Calm / Nostalgic / At,Breakfast at Tiffanyâs,Deep Blue Something
9c31cd1a,0.1058211369101107,-0.19953913283636074,3,Happy / Happy Because / Because,The chain,Fleetwood Mac
4b12ebf3,-0.11313289721905957,0.16208610270637877,0,Calm / Nostalgic / At,Ventura Highway,America
fe4d9479,0.03664155535104985,-0.22683079710973045,2,Upbeat / Dance / Happy Upbeat,Gettinâ hot,Knock2
ba97bc95,-0.11626249918281761,0.036136229958308654,0,Calm / Nostalgic / At,What are you listening to,Chris Stapleton
