participant_id,pc1,pc2,neighborhood,neighborhood_label,song_title,song_artist
2d41163b,-0.14255970612918292,0.009845708612158853,0,Nostalgic / Calm / At,Check yes or no,George strait
2d41163b,-0.19706171346349227,-0.1647640235750186,3,Upbeat / Happy / Gets,Donât stop till you get enough,Michael Jackson
c62e0917,-0.0815490504515062,0.020359777941531498,0,Nostalgic / Calm / At,Opposite,Sabrina carpenter
847d5d95,-0.14912416046682125,-0.01394022817747151,0,Nostalgic / Calm / At,Wonderwall,Oasis
847d5d95,-0.1023190810224796,0.024694733630031624,0,Nostalgic / Calm / At,No Idea,Dontoliver
9a49b4cc,-0.13052162227448538,0.0224718928985624,0,Nostalgic / Calm / At,Good Kisser,Usher
8e9dbae3,-0.11978357820084548,0.026798303077378828,0,Nostalgic / Calm / At,One shot,NBA youngboy
dc0ff952,-0.09529580404215306,0.007182378149391572,0,Nostalgic / Calm / At,Alive,Warbly Jets
32dfaea0,0.5919403065639199,0.27443402049201215,1,Relaxed / Happy Relaxed / Happy,Home,Edward Sharpe
80662765,-0.0815490504515062,0.020359777941531498,0,Nostalgic / Calm / At,Castle on the hill,Ed Sheeran
602e04ce,-0.0743075265126488,-0.07126731245039016,0,Nostalgic / Calm / At,Goals,Lisa
602e04ce,0.12356327299660493,0.4043467552636915,1,Relaxed / Happy Relaxed / Happy,Ooh Nah Nah,"SiR, Masego"
9ed3595c,-0.16719815396515814,-0.0709316815121072,3,Upbeat / Happy / Gets,White Keys,Dominic Fike
fce7a290,0.2672523520226797,-0.25270488622412957,2,Happy / Happy Because / Energetic,Good Drank,"2 Chainz, Gucci Mane, Quavo"
edd34b65,-0.15303253488645072,0.018459531955802373,0,Nostalgic / Calm / At,Donât Go Breaking My Heart,Elton John
edd34b65,-0.09733941561476854,-0.005516740467149329,0,Nostalgic / Calm / At,False Night,Yorushika
edd34b65,-0.10971979159448284,0.02812978838534086,0,Nostalgic / Calm / At,Take it Easy,Eagles
fdc75025,-0.0815490504515062,0.020359777941531498,0,Nostalgic / Calm / At,Easier,5SOS
fdc75025,0.43239681270903757,0.8167987908131601,1,Relaxed / Happy Relaxed / Happy,Free myself,Harvey street
5abefd60,-0.1326275832593206,0.03476322586141167,0,Nostalgic / Calm / At,Think of You,Prospa
ffc0d51b,0.3708143350958748,-0.3273746551612171,2,Happy / Happy Because / Energetic,Great Expectations,Sienna Spiro
436c1717,-0.12800062032671422,-0.005652978148216728,0,Nostalgic / Calm / At,southern nights,glen campbell
c54b9ba7,-0.1326275832593206,0.03476322586141167,0,Nostalgic / Calm / At,Algorisim,Babymetal
c54b9ba7,-0.16494509690939368,0.019346046643576045,0,Nostalgic / Calm / At,Black,Pearl Jam
be31f250,-0.19706171346349227,-0.1647640235750186,3,Upbeat / Happy / Gets,maui wowie,kid cudi
2fe45bc9,0.5919403065639199,0.27443402049201215,1,Relaxed / Happy Relaxed / Happy,OH! Tengo Suerte,Masayoshi Takanaka
2fe45bc9,-0.11626589406891774,0.11230390496100721,0,Nostalgic / Calm / At,Yi Jian Mei,Fei Yu Ching
f8ccd7c6,-0.09370311177886655,0.011796626412554507,0,Nostalgic / Calm / At,Break Free,Prospa & Kettama
2692327c,-0.09945257572444047,-0.0031011146497386005,0,Nostalgic / Calm / At,Autocorrect,CBDB
a0a95456,-0.1318350074734331,0.056753822885414286,0,Nostalgic / Calm / At,Loose,Daniel Caesar
a79667d2,-0.14398014832870093,0.009348162830640072,0,Nostalgic / Calm / At,Loser,Tame Impala
c59bf3a7,-0.10916082152241259,-0.04025275183286025,0,Nostalgic / Calm / At,Slave to the rhythm,Michael Jackson
05780c53,0.12441153720389352,-0.13625438906031664,2,Happy / Happy Because / Energetic,Rethink some things,Luke Combs
5b7cd4bb,-0.0815490504515062,0.020359777941531494,0,Nostalgic / Calm / At,Flores,LATIN MAFIA
